serum,virus,replicate,concentration,fraction infectivity
2380,4646_zhejiang-22,2,0.000146484,0.965975201
2380,4646_zhejiang-22,2,7.32E-05,0.997238056
199C,4646_zhejiang-22,1,0.1,0.119821355
199C,4646_zhejiang-22,1,0.05,0.203091027
199C,4646_zhejiang-22,1,0.025,0.392489863
199C,4646_zhejiang-22,1,0.0125,0.524710584
199C,4646_zhejiang-22,1,0.00625,0.713404243
199C,4646_zhejiang-22,1,0.003125,0.856672739
199C,4646_zhejiang-22,1,0.0015625,0.943703355
199C,4646_zhejiang-22,1,0.00078125,0.933948405
199C,4646_zhejiang-22,1,0.000390625,0.977316801
199C,4646_zhejiang-22,1,0.000195313,0.955985191
199C,4646_zhejiang-22,1,9.77E-05,0.891814068
199C,4646_zhejiang-22,2,0.1,0.09619792
199C,4646_zhejiang-22,2,0.05,0.222013281
199C,4646_zhejiang-22,2,0.025,0.448433919
199C,4646_zhejiang-22,2,0.0125,0.518187695
199C,4646_zhejiang-22,2,0.00625,0.679673268
199C,4646_zhejiang-22,2,0.003125,0.790797438
199C,4646_zhejiang-22,2,0.0015625,0.890638773
199C,4646_zhejiang-22,2,0.00078125,0.911735324
199C,4646_zhejiang-22,2,0.000390625,0.978609626
199C,4646_zhejiang-22,2,0.000195313,1
199C,4646_zhejiang-22,2,9.77E-05,0.909090909
